[2026-06-30 20:38:46] [axHelper] IN: register failed, fallback to spawn → OUT: 未能完成该操作。Codesigning failure loading plist: com.motioncontrol.axhelper code: -67028 (0ms)
[2026-06-30 20:38:46] [axHelper] IN: spawned → OUT: pid=20759 (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=终端 frame=(709,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=Visual Studio Code frame=(755,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=Codex frame=(801,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=Reasonix frame=(847,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title= frame=(893,1017,20,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=屏幕共享 frame=(914,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=飞鸟加速 frame=(960,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=预览 frame=(1006,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=腾讯视频 frame=(1052,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=日历 frame=(1098,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=网易云音乐 frame=(1144,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=MotionControl frame=(1190,1004,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title= frame=(1236,1017,20,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=下载 frame=(1256,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=飞鸟加速 frame=(1302,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=豆包 frame=(1348,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=所有连接 frame=(1394,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=飞书 frame=(1440,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=微信 frame=(1486,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=腾讯视频 frame=(1532,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=Reasonix frame=(1578,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=网易云音乐 frame=(1624,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=“黄岩岛自家院子紧张个啥”_百度搜索 frame=(1670,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2478 role=AXDockItem → OUT: title=废纸篓 frame=(1716,1017,46,58) (0ms)
[2026-06-30 20:38:47] [axEl] IN: pid=2479 role=AXMenuBarItem → OUT: title=Siri frame=(1744,3,16,24) (0ms)
[2026-06-30 20:38:47] [axMatch] IN: cursor=(1521,430) → OUT: role=AXStaticText title= (0ms)
[2026-06-30 20:38:48] [axScan] IN: windows=4 → OUT: raw=88 visible=78 [pid2479=1 pid2480=9 pid24465=32 pid2478=36] (165ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1183,83,26,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1188,89,15,14) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1212,83,25,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1217,89,15,14) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1241,83,25,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1246,89,15,14) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1271,83,26,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1277,89,14,14) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXStaticText → OUT: title= frame=(1311,88,93,15) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXPopUpButton → OUT: title= frame=(1411,84,25,24) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1415,88,17,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1724,83,28,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1732,88,17,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXPopUpButton → OUT: title= frame=(1752,83,21,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1754,89,13,13) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXCheckBox → OUT: title= frame=(1777,83,26,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1782,88,17,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXCheckBox → OUT: title= frame=(1808,83,26,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1813,88,16,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXCheckBox → OUT: title= frame=(1839,83,25,26) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXImage → OUT: title= frame=(1843,88,17,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1116,88,16,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1162,88,16,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXButton → OUT: title= frame=(1139,88,16,16) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=Apple frame=(10,0,34,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=Codex frame=(43,0,62,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=File frame=(104,0,42,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=Edit frame=(145,0,44,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=View frame=(188,0,50,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=Window frame=(237,0,70,30) (0ms)
[2026-06-30 20:38:48] [axEl] IN: pid=24465 role=AXMenuBarItem → OUT: title=Help frame=(306,0,49,30) (0ms)
